127.0.0.1 - - [11/Dec/2020:09:44:36 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/login.jsf HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/g/3_3_2.SR1/org/ajax4jsf/framework.pack.js.jsf HTTP/1.1" 200 319163
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org/richfaces/renderkit/html/css/msg.css.jsf HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org/richfaces/renderkit/html/css/msgs.css.jsf HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/g/3_3_2.SR1/org/richfaces/ui.pack.js.jsf HTTP/1.1" 200 673917
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/g/3_3_2.SR1images/spacer.gif.jsf HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/basic_both.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:44:51 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/extended_both.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "POST /seguranca/login.jsf HTTP/1.1" 200 39515
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/basic_both.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 200 7252
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/s/3_3_2.SR1css/panel.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/panelMenu.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/modalPanel.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/s/3_3_2.SR1org/richfaces/renderkit/html/css/extended_both.xcss/DATB/eAFrvajdHLp8hjQAEgwDtA__.jsf HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.iconimages.PanelMenuIconGrid/DATB/eAH7!!8!AAX9Av4_.jsf HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.iconimages.PanelMenuIconGrid/DATB/eAHbWuoFAANWAXU_.jsf HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.iconimages.PanelMenuIconSpacer/DATB/eAHbWuoFAANWAXU_.jsf HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.iconimages.PanelMenuIconSpacer/DATB/eAH7!!8!AAX9Av4_.jsf HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:00 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.gradientimages.PanelMenuGroupGradient/DATB/eAF7emTy1lIvJgASigOz.jsf HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:02 -0300] "GET /seguranca/a4j/g/3_3_2.SR1org.richfaces.renderkit.html.images.ButtonBackgroundImage/DATB/eAFjYGDgfnpk8tZSLyYAEuYDvg__.jsf HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:10 -0300] "POST /seguranca/principal.jsf HTTP/1.1" 200 46769
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:10 -0300] "GET /seguranca/imagens/btnDesativar-01.png HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [11/Dec/2020:09:45:10 -0300] "GET /seguranca/imagens/btnAtivar-01.png HTTP/1.1" 200 1682
